SLUG,URL,PAGE_FOUND
bell-206,https://globalmilitary.net/aircraft/bell-206/,1
cessna-208,https://globalmilitary.net/aircraft/cessna-208/,1
cessna-210,https://globalmilitary.net/aircraft/cessna-210/,1
bell-407,https://globalmilitary.net/aircraft/bell-407/,1
cessna-421,https://globalmilitary.net/aircraft/cessna-421/,1
bell-429,https://globalmilitary.net/aircraft/bell-429/,1
cessna-441,https://globalmilitary.net/aircraft/cessna-441/,1
citation,https://globalmilitary.net/aircraft/citation/,1
bell-505,https://globalmilitary.net/aircraft/bell-505/,1
a1-skyraider,https://globalmilitary.net/aircraft/a1-skyraider/,1
a10-thunderbolt-ii,https://globalmilitary.net/aircraft/a10-thunderbolt-ii/,1
a3-skywarrior,https://globalmilitary.net/aircraft/a3-skywarrior/,1
a37-dragonfly,https://globalmilitary.net/aircraft/a37-dragonfly/,1
a4-skyhawk,https://globalmilitary.net/aircraft/a4-skyhawk/,1
a-40-mermaid,https://globalmilitary.net/aircraft/a-40-mermaid/,1
a5-vigilante,https://globalmilitary.net/aircraft/a5-vigilante/,1
a-50-mainstay,https://globalmilitary.net/aircraft/a-50-mainstay/,1
a6-intruder,https://globalmilitary.net/aircraft/a6-intruder/,1
a7-corsair-ii,https://globalmilitary.net/aircraft/a7-corsair-ii/,1
a1-cm-furia,https://globalmilitary.net/aircraft/a1-cm-furia/,1
aw129,https://globalmilitary.net/aircraft/aw129/,1
a400m-atlas,https://globalmilitary.net/aircraft/a400m-atlas/,1
a900,https://globalmilitary.net/aircraft/a900/,1
ac-130-spectre,https://globalmilitary.net/aircraft/ac-130-spectre/,1
ah-1-cobra,https://globalmilitary.net/aircraft/ah-1-cobra/,1
ah-1w-super-cobra,https://globalmilitary.net/aircraft/ah-1w-super-cobra/,1
ah-1z-viper,https://globalmilitary.net/aircraft/ah-1z-viper/,1
ah-2-rooivalk,https://globalmilitary.net/aircraft/ah-2-rooivalk/,1
ah-6-little-bird,https://globalmilitary.net/aircraft/ah-6-little-bird/,1
ah-64-apache,https://globalmilitary.net/aircraft/ah-64-apache/,1
amca,https://globalmilitary.net/aircraft/amca/,1
amx,https://globalmilitary.net/aircraft/amx/,1
an-bk-1-horlytsia,https://globalmilitary.net/aircraft/an-bk-1-horlytsia/,1
aq-400-scythe,https://globalmilitary.net/aircraft/aq-400-scythe/,1
aqm-34-lightning-bug,https://globalmilitary.net/aircraft/aqm-34-lightning-bug/,1
as-202-bravo,https://globalmilitary.net/aircraft/as-202-bravo/,1
as-332-super-puma,https://globalmilitary.net/aircraft/as-332-super-puma/,1
as-565-panther,https://globalmilitary.net/aircraft/as-565-panther/,1
asn-209,https://globalmilitary.net/aircraft/asn-209/,1
at-3-tsu-chiang,https://globalmilitary.net/aircraft/at-3-tsu-chiang/,1
atl-2-atlantique,https://globalmilitary.net/aircraft/atl-2-atlantique/,1
atr-42,https://globalmilitary.net/aircraft/atr-42/,1
atr-72,https://globalmilitary.net/aircraft/atr-72/,1
av-8b-harrier-ii,https://globalmilitary.net/aircraft/av-8b-harrier-ii/,1
aw101,https://globalmilitary.net/aircraft/aw101/,1
aw109,https://globalmilitary.net/aircraft/aw109/,1
aw119,https://globalmilitary.net/aircraft/aw119/,1
aw139,https://globalmilitary.net/aircraft/aw139/,1
aw149,https://globalmilitary.net/aircraft/aw149/,2
aw159,https://globalmilitary.net/aircraft/aw159/,2
aw169,https://globalmilitary.net/aircraft/aw169/,2
aw249,https://globalmilitary.net/aircraft/aw249/,2
aw609,https://globalmilitary.net/aircraft/aw609/,2
aarok,https://globalmilitary.net/aircraft/aarok/,2
ababil-3,https://globalmilitary.net/aircraft/ababil-3/,2
m345,https://globalmilitary.net/aircraft/m345/,2
s211,https://globalmilitary.net/aircraft/s211/,2
aerosonde,https://globalmilitary.net/aircraft/aerosonde/,2
aerostar,https://globalmilitary.net/aircraft/aerostar/,2
at-500,https://globalmilitary.net/aircraft/at-500/,2
at-802,https://globalmilitary.net/aircraft/at-802/,2
a310mrtt,https://globalmilitary.net/aircraft/a310mrtt/,2
a319-cj,https://globalmilitary.net/aircraft/a319-cj/,2
a321,https://globalmilitary.net/aircraft/a321/,2
a330,https://globalmilitary.net/aircraft/a330/,2
a330-mrtt,https://globalmilitary.net/aircraft/a330-mrtt/,2
a350,https://globalmilitary.net/aircraft/a350/,2
hal-ajeet,https://globalmilitary.net/aircraft/hal-ajeet/,2
