SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
bell-206,https://globalmilitary.net/aircraft/bell-206/,206 JetRanger,2,12.9 m (42.2 ft),10.2 m (33.3 ft),3.9 m (12.9 ft),"1,737 kg (3,829 lbs)","2,495 kg (5,501 lbs)",1 × turboshaft Allison 250-C30 485 kW each,226 km/h (140 mph),624 km (388 mi),"4,572 m (15,000 ft)",6.9 m/s (22.6 ft/s),,,
cessna-208,https://globalmilitary.net/aircraft/cessna-208/,208 Caravan,1–2,12.7 m (41.6 ft),15.9 m (52.1 ft),4.3 m (14.2 ft),"2,073 kg (4,570 lbs)","3,970 kg (8,752 lbs)",1 × turboprop Pratt & Whitney Canada PT6A-114A 505 kW each,344 km/h (214 mph),"1,980 km (1,230 mi)","7,600 m (24,934 ft)",3.9 m/s (12.8 ft/s),26 m² (279.9 sqft),,
cessna-210,https://globalmilitary.net/aircraft/cessna-210/,210 Centurion,1,8.6 m (28.2 ft),11.2 m (36.7 ft),3.0 m (9.7 ft),"1,045 kg (2,304 lbs)","1,814 kg (3,999 lbs)",1 × piston Continental TSIO-520-R 231 kW each,378 km/h (235 mph),"1,667 km (1,036 mi)","8,230 m (27,001 ft)",4.7 m/s (15.4 ft/s),16.3 m² (175.0 sqft),"658 m (2,159 ft)",
bell-407,https://globalmilitary.net/aircraft/bell-407/,407,1,12.7 m (41.7 ft),10.7 m (35.0 ft),3.6 m (11.7 ft),"1,210 kg (2,668 lbs)","2,722 kg (6,001 lbs)",1 × Allison 250-C47B 606 kW each,260 km/h (162 mph),600 km (373 mi),"5,700 m (18,701 ft)",,89.4 m² (962.3 sqft),,
cessna-421,https://globalmilitary.net/aircraft/cessna-421/,421 Golden Eagle,,11.1 m (36.4 ft),12.5 m (41.1 ft),3.5 m (11.5 ft),"2,042 kg (4,502 lbs)","3,379 kg (7,449 lbs)",2 × pistons engine Continental GTSIO-520-L 280 kW each,474 km/h (295 mph),"2,754 km (1,711 mi)","9,205 m (30,200 ft)",9.9 m/s (32.5 ft/s),20 m² (215.3 sqft),,
bell-429,https://globalmilitary.net/aircraft/bell-429/,429 GlobalRanger,1,12.7 m (41.8 ft),11.0 m (36.0 ft),4.1 m (13.3 ft),"1,925 kg (4,244 lbs)","3,175 kg (7,000 lbs)",2 × turboshafts Pratt & Whitney Canada PW207D1 466 kW each,287 km/h (178 mph),720 km (447 mi),"6,096 m (20,000 ft)",,,,
cessna-441,https://globalmilitary.net/aircraft/cessna-441/,441 Conquest II,,11.9 m (39.0 ft),15.0 m (49.3 ft),4.0 m (13.2 ft),"2,577 kg (5,681 lbs)","4,468 kg (9,850 lbs)",2 × turboprops Garrett TPE331-8-403S 474 kW each,547 km/h (340 mph),"4,064 km (2,525 mi)","10,668 m (35,000 ft)",12.37 m/s (40.6 ft/s),23.6 m² (253.6 sqft),"751 m (2,464 ft)",
citation,https://globalmilitary.net/aircraft/citation/,500 Citation I,,13.3 m (43.6 ft),14.4 m (47.1 ft),4.4 m (14.3 ft),"3,008 kg (6,631 lbs)","5,375 kg (11,850 lbs)",2 × turbofans Pratt & Whitney Canada JT15D-1B 998 kgf each,665 km/h (413 mph),"2,459 km (1,528 mi)","12,497 m (41,001 ft)",13.8 m/s (45.3 ft/s),25.9 m² (278.5 sqft),,
bell-505,https://globalmilitary.net/aircraft/bell-505/,505 Jet Ranger X,,13.0 m (42.5 ft),11.3 m (37.0 ft),3.3 m (10.7 ft),"1,669 kg (3,680 lbs)","2,030 kg (4,475 lbs)",1 × turboshaft Safran Arrius 2R 377 kW each,232 km/h (144 mph),617 km (383 mi),"5,670 m (18,602 ft)",,,,
a1-skyraider,https://globalmilitary.net/aircraft/a1-skyraider/,A-1 Skyraider,1,11.8 m (38.8 ft),15.2 m (50.0 ft),4.8 m (15.7 ft),"5,429 kg (11,969 lbs)","8,213 kg (18,107 lbs)","1 × Wright R-3350-26WA Duplex-Cyclone 18-cylinder air-cooled radial piston engine 2,000 kW each",518 km/h (322 mph),"2,118 km (1,316 mi)","8,700 m (28,543 ft)",14.5 m/s (47.6 ft/s),37.2 m² (400.3 sqft),,10 hours
a10-thunderbolt-ii,https://globalmilitary.net/aircraft/a10-thunderbolt-ii/,A-10 Thunderbolt II,1,16.3 m (53.3 ft),17.5 m (57.5 ft),4.5 m (14.7 ft),47 m² (505.9 sqft),"11,321 kg (24,959 lbs)","22,680 kg (50,001 lbs)","2 × turbofans General Electric TF34-GE-100A 8,224 kgf each",McDonnell Douglas ACES II,675 km/h (419 mph),"4,150 km (2,579 mi)","13,716 m (45,000 ft)",30.0 m/s (98.4 ft/s),
a3-skywarrior,https://globalmilitary.net/aircraft/a3-skywarrior/,A-3 Skywarrior,3,23.3 m (76.3 ft),22.1 m (72.5 ft),6.9 m (22.8 ft),75.4 m² (811.6 sqft),"17,876 kg (39,410 lbs)","37,195 kg (82,001 lbs)","2 × Pratt & Whitney J57-P-10 turbojet 4,762 kgf each",,980 km/h (609 mph),"4,667 km (2,900 mi)","12,000 m (39,370 ft)",,
a37-dragonfly,https://globalmilitary.net/aircraft/a37-dragonfly/,A-37 Dragonfly,,8.6 m (28.3 ft),10.9 m (35.9 ft),2.7 m (8.9 ft),17.1 m² (184.0 sqft),"2,817 kg (6,210 lbs)","6,350 kg (13,999 lbs)","2 × turbojets General Electric J85-GE-17A 2,586 kgf each",Weber M2F2,816 km/h (507 mph),"1,628 km (1,012 mi)","12,730 m (41,765 ft)",35.5 m/s (116.5 ft/s),
a4-skyhawk,https://globalmilitary.net/aircraft/a4-skyhawk/,A-4 Skyhawk,1,12.2 m (40.1 ft),8.4 m (27.5 ft),4.6 m (15.0 ft),24.2 m² (259.9 sqft),"4,750 kg (10,472 lbs)","11,136 kg (24,551 lbs)","1 × turbojet Pratt & Whitney J52-P8A 4,100 kgf each",Escapac IC-3,1077 km/h (Mach 1.08),"4,063 km (2,525 mi)","12,880 m (42,257 ft)",43.0 m/s (141.1 ft/s),
a-40-mermaid,https://globalmilitary.net/aircraft/a-40-mermaid/,A-40 Mermaid,8,43.8 m (143.8 ft),41.6 m (136.5 ft),11 m (36.1 ft),200 m² (2152.8 sqft),,"86,000 kg (189,597 lbs)",2 × turbofans Soloviev D-30KPV 117 kN each,,800 km/h (497 mph),"4,100 km (2,548 mi)","9,700 m (31,824 ft)",30.0 m/s (98.4 ft/s),
a5-vigilante,https://globalmilitary.net/aircraft/a5-vigilante/,A-5 Vigilante,"2 (pilot, bombardier/navigator)",23.3 m (76.5 ft),16.2 m (53.0 ft),5.9 m (19.4 ft),65.1 m² (700.7 sqft),"14,870 kg (32,783 lbs)","28,615 kg (63,085 lbs)","2 × turbojets General Electric J79-GE-8 9,786 kgf each",North American HS-1A,2123 km/h (Mach 2.12),"1,804 km (1,121 mi)","15,880 m (52,100 ft)",40.6 m/s (133.2 ft/s),
