Airbase Name,Operated by,Based aircraft,Runways,Year built
Airbase Name,Operated by,Based aircraft,Runways,Year built
12th Unmanned Aerial Vehicles Base,🇵🇱 Poland,0,1,2001
19th Air BaseClosed,🇷🇴 Romania,0,0,0
22nd Air Base,🇵🇱 Poland,0,1,1929
23rd Air Base,🇵🇱 Poland,0,1,2001
31st Tactical Air Base,🇵🇱 Poland,0,0,2000
33rd Air Base,🇵🇱 Poland,0,2,2000
49th Air BaseClosed,🇷🇴 Romania,0,1,1941
58th Helicopter Air BaseClosed,🇷🇴 Romania,0,1,1943
59th Helicopter Air Base,🇷🇴 Romania,0,0,0
60th Helicopter Air BaseClosed,🇷🇴 Romania,0,0,0
61st Helicopter Air BaseClosed,🇷🇴 Romania,0,0,0
67th Air Base,🇷🇴 Romania,0,1,1940
71st Air Base,🇷🇴 Romania,F-16 Fighting Falcon,0,0
73rd Helicopter Air BaseClosed,🇷🇴 Romania,0,1,1953
86th Air Base,🇷🇴 Romania,F-16 Fighting Falcon,0,0
90th Airlift Base,🇷🇴 Romania,An-26 Curl +3,2,1943
91st Air Base,🇷🇴 Romania • 🇺🇸 United States,0,0,1952
93rd Air Base,🇷🇴 Romania,Bayraktar TB2,1,1953
94th Helicopter Air BaseClosed,🇷🇴 Romania,0,0,0
95th Air Base,🇷🇴 Romania,0,1,1946
AFB Bloemspruit,🇿🇦 South Africa,0,2,0
AFB Durban,🇿🇦 South Africa,Atlas Oryx,1,0
AFB Hoedspruit,🇿🇦 South Africa,0,2,1978
AFB Langebaanweg,🇿🇦 South Africa,0,4,0
AFB Makhado,🇿🇦 South Africa,0,2,1987
AFB Overberg,🇿🇦 South Africa,0,2,0
AFB Swartkop,🇿🇦 South Africa,0,2,1921
AFB Waterkloof,🇿🇦 South Africa,0,2,1938
AFB Ysterplaat,🇿🇦 South Africa,0,1,1941
AFS Port Elizabeth,🇿🇦 South Africa,0,3,0
Aalborg Air Base,🇩🇰 Denmark,0,2,1938
Abdul Rachman Saleh Air Force Base,🇮🇩 Indonesia,EMB-314 Super Tucano +2,2,1937
Ablitas Military Airfield,🇪🇸 Spain,0,1,0
Abston Air National Guard Station,🇺🇸 United States,0,0,0
Abu Sultan Air Base,🇪🇬 Egypt,0,2,1935
Abu Suweir Air Base,🇪🇬 Egypt,F-16 Fighting Falcon,2,1919
Abu al-Duhur Air BaseInactive,🇸🇾 Syria,0,0,0
Acapulco International Airport,🇲🇽 Mexico,0,2,1954
Achinsk Airport,🇷🇺 Russia,0,1,0
Adampur AFS,🇮🇳 India,MiG-29 Fulcrum,1,1950
Adisoemarmo Air Force Base,🇮🇩 Indonesia,0,1,1940
Adisutjipto Air Force Base,🇮🇩 Indonesia,Grob G-120 +1,1,1940
Afonsos Air Force Base,🇧🇷 Brazil,0,1,1912
Agoncillo Air Base,🇪🇸 Spain,NH90 / Caiman,1,0
Agra AFS,🇮🇳 India,An-32 Cline +2,2,1947
Agualeguas National Airport,🇲🇽 Mexico,0,1,1990
Ahmad al-Jaber Air Base,🇺🇸 United States · in 🇰🇼 Kuwait,0,2,1978
Ain Oussera,🇩🇿 Algeria,0,2,0
Air Station Barbers Point,🇺🇸 United States,0,3,1999
Akeno Air Field,🇯🇵 Japan,AH-1 Cobra +1,2,1920
Airbase Name,Operated by,Based aircraft,Runways,Year built
Akhtubinsk Air Base,🇷🇺 Russia,0,2,1948
Al Asad Air Base,🇮🇶 Iraq • 🇺🇸 United States,0,3,1981
Al Dhafra Air Base,🇺🇸 United States · in 🇦🇪 United Arab Emirates,F-15 Eagle +6,2,1983
Al Jufra Airbase,🇱🇾 Libya,0,1,1969
Al Khatatbah Air Base,🇪🇬 Egypt,0,3,1985
Al Mansurah Air Base,🇪🇬 Egypt,Alpha Jet,2,1985
Al Minhad Air Base,🇦🇪 United Arab Emirates,Typhoon,1,0
Al Taqaddum Air Base,🇮🇶 Iraq • 🇺🇸 United States,0,2,1952
Al Udeid Air Base,🇬🇧 United Kingdom • 🇺🇸 United States · in 🇶🇦 Qatar,0,2,1996
Al-Anad Air Base,🇾🇪 Yemen,0,1,1976
Al-Dailami Air Base,🇾🇪 Yemen,0,1,1970
Al-Dumayr Air Base,🇸🇾 Syria,MiG-29 Fulcrum,2,0
Al-Jouf Air Base,🇸🇦 Saudi Arabia,0,1,1974
Al-Safran Air Base,🇦🇪 United Arab Emirates,0,1,2008
Al-Watiya Air Base,🇱🇾 Libya,0,2,0
Albacete Air Base,🇪🇸 Spain,Typhoon +1,1,1923
Alcantarilla Air Base,🇪🇸 Spain,C-212 Aviocar,1,0
Aldergrove Flying Station,🇬🇧 United Kingdom,0,2,1918
Alfonso Bonilla Aragón International Airport,🇨🇴 Colombia,0,1,1971
Ali Al Salem Air Base,🇺🇸 United States · in 🇰🇼 Kuwait,0,2,1980
Almagro Air Base,🇪🇸 Spain,EC665 Tiger,1,0
Almaza Air Base,🇪🇬 Egypt,Falcon 7X +4,2,1920
Almirante Zar Naval Air Base,🇦🇷 Argentina,P-3 Orion,1,1961
Alpnach Air Base,🇨🇭 Switzerland,0,1,1942
Altus Air Force Base,🇺🇸 United States,C-17 Globemaster III +1,3,1943
Ambala AFS,🇮🇳 India,0,2,1919
Amendola Air Base,🇮🇹 Italy,F-35 Lightning II +3,1,1941
Amritsar AFS,🇮🇳 India,0,1,1930
Andersen Air Force Base,🇺🇸 United States · in 🇬🇺 Guam,RQ-4 Global Hawk +1,2,1944
Andravida Air Base,🇬🇷 Greece,0,1,1955
Andøya Air Station,🇳🇴 Norway,P-3 Orion,2,1957
Annaba,🇩🇿 Algeria,0,2,1939
Anqing Air Base,🇨🇳 China,0,1,1993
Anshan Air Base,🇨🇳 China,J-20 Mighty Dragon,1,1987
Antonio Bautista Air Base,🇵🇭 Philippines • 🇺🇸 United States,0,1,1975
Anápolis Air Force Base,🇧🇷 Brazil,F-5 Freedom Fighter +1,2,1970
Araxos Air Base,🇬🇷 Greece,F-16 Fighting Falcon,1,1939
Arlanda Air Base,🇸🇪 Sweden,Boeing 747,3,1959
Armavir Air Base,🇷🇺 Russia,0,1,1940
