#,Country,AIRS Index (Air Inventory Rating of Strength),All aircraft,Δ YoY,Combat
1,🇺🇸 United States Air Force,100.0,"13,004",-39,"2,956"
2,🇨🇳 People's Liberation Army Air Force,74.5,"6,341","+2,928","3,222"
3,🇷🇺 Russian Air Force,53.2,"5,378","+1,088","1,524"
4,🇮🇳 Indian Air Force,34.7,"2,256",-42,588
5,🇯🇵 Japan Air Self-Defense Force,29.2,"1,410",-33,341
6,🇰🇷 Republic of Korea Air Force,28.5,"1,552",+3,374
7,🇸🇦 Royal Saudi Air Force,27.9,914,-3,384
8,🇫🇷 French Air and Space Force,27.5,"1,017",+41,264
9,🇹🇷 Turkish Air Force,23.8,"1,357",+259,299
10,🇩🇪 German Air Force,23.5,657,+72,224
11,🇮🇱 Israeli Air Force,23.5,525,+7,263
12,🇮🇹 Italian Air Force,23.2,778,+52,190
13,🇹🇼 Republic of China Air Force,23.2,714,-56,319
14,🇬🇧 Royal Air Force,22.6,673,+22,151
15,🇪🇬 Egyptian Air Force,21.7,"1,139",+50,557
16,🇵🇰 Pakistan Air Force,21.0,"1,506",+114,469
17,🇦🇪 United Arab Emirates Air Force,19.8,592,+57,135
18,🇬🇷 Hellenic Air Force,19.4,722,+106,217
19,🇦🇺 Royal Australian Air Force,19.2,382,+55,96
20,🇪🇸 Spanish Air and Space Force,18.5,509,+30,178
21,🇩🇿 Algerian Air Force,17.7,612,+10,156
22,🇶🇦 Qatar Emiri Air Force,15.6,283,+32,126
23,🇰🇵 Korean People's Army Air Force,14.6,"1,131",-3,571
24,🇨🇦 Royal Canadian Air Force,14.2,360,+9,92
25,🇧🇷 Brazilian Air Force,14.2,515,-13,146
26,🇵🇱 Polish Air Force,14.1,479,-3,68
27,🇸🇬 Republic of Singapore Air Force,13.9,231,+1,100
28,🇮🇩 Indonesian Air Force,13.8,483,+37,65
29,🇮🇷 Islamic Republic of Iran Air Force,13.5,659,+19,295
30,🇸🇪 Swedish Air Force,12.6,178,+10,96
31,🇺🇦 Ukraine Air Force,12.4,342,+1,137
32,🇳🇴 Royal Norwegian Air Force,11.9,111,+14,52
33,🇳🇱 Royal Netherlands Air Force,11.5,146,+26,40
34,🇹🇭 Royal Thai Air Force,11.4,481,-16,84
35,🇨🇱 Chilean Air Force,10.4,277,0,81
36,🇮🇶 Iraqi Air Force,10.4,396,+5,53
37,🇰🇼 Kuwait Air Force,10.2,134,+6,50
38,🇫🇮 Finnish Air Force,10.1,164,+1,62
39,🇩🇰 Royal Danish Air Force,9.7,123,-5,57
40,🇨🇴 Colombian Air Force,9.6,437,+3,43
41,🇧🇪 Belgian Air Component,9.6,107,-1,64
42,🇲🇦 Royal Moroccan Air Force,9.4,290,+30,92
43,🇸🇾 Syrian Arab Air Force,9.3,414,0,225
44,🇯🇴 Royal Jordanian Air Force,9.3,258,+12,73
