#,Country,ARMS Index (Armour and Manpower Rating of Strength),Total,Tanks,IFVs,APCs,Artillery
1,🇺🇸 United States Army,100.0,"171,065","2,666","7,724","5,026","4,930"
2,🇨🇳 Chinese Army,90.7,"26,250","4,770","8,050","4,350","8,080"
3,🇷🇺 Russian Army,63.9,"16,935","3,460","1,950","4,869","3,611"
4,🇮🇳 Indian Army,59.1,"15,413","3,854","2,415",86,"4,818"
5,🇰🇷 South Korean Army,58.9,"13,232","1,814",536,"3,127","5,745"
6,🇺🇦 Ukrainian Army,46.9,"18,951","1,123","2,189","2,436","2,269"
7,🇹🇷 Turkish Army,45.3,"13,201","2,284",645,"4,258","1,882"
8,🇵🇰 Pakistani Army,43.4,"9,457","2,612",0,"3,100","3,520"
9,🇪🇬 Egyptian Army,40.4,"9,808","2,000",690,"4,260","1,289"
10,🇰🇵 North Korean Army,37.0,"6,537","4,235",32,"1,710",0
11,🇮🇷 Iranian Army,36.5,"6,676","1,513",610,640,"3,798"
12,🇸🇦 Saudi Arabian Army,36.0,"5,608",945,380,"1,190",993
13,🇵🇱 Polish Army,36.0,"3,427",827,"1,331",117,852
14,🇩🇿 Algerian Army,35.0,"7,407","1,485",980,"1,434",482
15,🇫🇷 French Army,34.3,"6,633",222,627,"2,599",157
16,🇮🇶 Iraqi Army,32.9,"6,505","1,188","1,470","1,154","1,616"
17,🇮🇱 Israeli Army,32.7,"5,540",900,0,890,280
18,🇬🇷 Greek Army,32.0,"6,572","1,273",181,"2,478","1,440"
19,🇲🇲 Myanmar/ Burma Army,31.5,"5,840",950,"1,150",800,"2,030"
20,🇹🇼 Taiwanese Army,31.2,"5,502",990,683,"2,040","1,739"
21,🇩🇪 German Army,30.8,"4,166",296,699,"1,465",167
22,🇻🇳 Vietnamese Army,30.7,"7,394","1,334",300,"1,660","3,480"
23,🇦🇿 Azerbaijani Army,30.3,"5,385",652,578,"1,162","1,422"
24,🇯🇵 Japanese Army,30.2,"4,516",479,181,"1,003",772
25,🇲🇦 Moroccan Army,29.6,"4,854",959,193,"1,742",810
26,🇬🇧 British Army,29.0,"4,028",288,746,838,183
