Naval Base Name,Operated by,Homeported ships,Type,Established
Naval Base Name,Operated by,Homeported ships,Type,Established
Aksaz Naval Base,🇹🇷 Turkey,0,Main operating base,1992
Arsenal de La Carraca,🇪🇸 Spain,0,Shipyard & arsenal,1752
Baltiysk Naval Base,🇷🇺 Russia,0,Main operating base,1952
Bandar Abbas Naval Base,🇮🇷 Iran,0,Fleet headquarters,0
Bandar Anzali Naval Base,🇮🇷 Iran,0,Fleet headquarters,0
Bandar Mahshahr Naval Base,🇮🇷 Iran,0,Fleet headquarters,0
Bartın Naval Base,🇹🇷 Turkey,0,Submarine base,1965
Brest Naval Base,🇫🇷 France,0,Fleet headquarters,1631
British Defence Singapore Support Unit,🇬🇧 United Kingdom · in 🇸🇬 Singapore,0,Support & logistics,1938
Busan Naval Base,🇰🇷 South Korea,0,Fleet headquarters,2006
Bushehr Naval Base,🇮🇷 Iran,0,Fleet headquarters,0
CFB Esquimalt,🇨🇦 Canada,Victoria +2,Fleet headquarters,1860
CFB Halifax,🇨🇦 Canada,0,Fleet headquarters,1906
Camp Lemonnier,🇺🇸 United States · in 🇩🇯 Djibouti,0,Support & logistics,2002
Camp de la Paix,🇫🇷 France · in 🇦🇪 United Arab Emirates,0,Support & logistics,2009
Cartagena Naval Base,🇪🇸 Spain,Descubierta +2,Submarine base,1782
Chabahar Naval Base,🇮🇷 Iran,0,Main operating base,0
Cherbourg Naval Base,🇫🇷 France,Flamant,Main operating base,1813
Crete Naval Base,🇬🇷 Greece • 🇺🇸 United States,0,Main operating base,1951
Den Helder Naval Base,🇳🇱 Netherlands,0,Fleet headquarters,1954
Djibouti Naval Base,🇫🇷 France · in 🇩🇯 Djibouti,0,Support & logistics,1977
Dégrad des Cannes Naval Base,🇫🇷 France,Confiance,Main operating base,1974
East Cove Military Port,🇬🇧 United Kingdom,River,Main operating base,0
Eckernförde Naval Base,🇩🇪 Germany,Elbe,Submarine base,1957
Erdek Naval Base,🇹🇷 Turkey,0,Main operating base,0
Ferrol Naval Base,🇪🇸 Spain,Álvaro de Bazán +1,Main operating base,1726
Fiery Cross Reef,🇨🇳 China,0,Main operating base,1988
Fleet Activities Chinhae,🇺🇸 United States · in 🇰🇷 South Korea,0,Support & logistics,1946
Fleet Activities Sasebo,🇺🇸 United States · in 🇯🇵 Japan,America +3,Main operating base,1946
Fleet Activities Yokosuka,🇺🇸 United States · in 🇯🇵 Japan,Nimitz +2,Fleet headquarters,1870
Fokino Naval Base,🇷🇺 Russia,0,Main operating base,1963
Fort-de-France Naval Base,🇫🇷 France,Floreal +1,Main operating base,1638
Foça Naval Base,🇹🇷 Turkey,0,Main operating base,0
Gadzhiyevo Naval Base,🇷🇺 Russia,0,Submarine base,1957
Gölcük Naval Base,🇹🇷 Turkey,0,Fleet headquarters,1933
HM Naval Base Gibraltar,🇬🇧 United Kingdom · in 🇬🇮 Gibraltar,River,Main operating base,1895
HMAS Cairns,🇦🇺 Australia,Armidale,Main operating base,1974
HMAS Cerberus,🇦🇺 Australia,0,Support & logistics,1920
HMAS Coonawarra,🇦🇺 Australia,0,Main operating base,1970
HMAS Creswell,🇦🇺 Australia,0,Support & logistics,1915
HMAS Kuttabul,🇦🇺 Australia,0,Fleet headquarters,1856
HMAS Penguin,🇦🇺 Australia,0,Support & logistics,1942
HMAS Stirling,🇦🇺 Australia,Collins +1,Fleet headquarters,1978
HMAS Waterhen,🇦🇺 Australia,Huon,Main operating base,1962
HMAS Watson,🇦🇺 Australia,0,Support & logistics,1942
HMNB Clyde,🇬🇧 United Kingdom,Vanguard,Submarine base,1940
HMNB Devonport,🇬🇧 United Kingdom,Duke,Main operating base,1691
HMNB Portsmouth,🇬🇧 United Kingdom,Queen Elizabeth +5,Fleet headquarters,1194
INS Dwarka,🇮🇳 India,0,Support & logistics,1972
INS Dweeprakshak,🇮🇳 India,0,Main operating base,2012
Naval Base Name,Operated by,Homeported ships,Type,Established
INS Jarawa,🇮🇳 India,0,Main operating base,1964
INS Jatayu,🇮🇳 India,0,Main operating base,2024
INS Kadamba,🇮🇳 India,Vikramaditya +1,Main operating base,2005
INS Kalinga,🇮🇳 India,0,Support & logistics,1985
INS Kardip,🇮🇳 India,0,Main operating base,1973
INS Kattabomman,🇮🇳 India,0,Support & logistics,1990
INS Sardar Patel,🇮🇳 India,0,Support & logistics,2015
INS Vajrabahu,🇮🇳 India,0,Submarine base,1987
INS VarshaPlanned,🇮🇳 India,Arihant,Submarine base,2026
INS Venduruthy,🇮🇳 India,0,Fleet headquarters,1943
INS Virbahu,🇮🇳 India,0,Submarine base,1971
JMSDF Kure Naval Base,🇯🇵 Japan,0,Main operating base,1953
JMSDF Maizuru Naval Base,🇯🇵 Japan,0,Main operating base,1952
JMSDF Sasebo Naval Base,🇯🇵 Japan,Hayabusa,Main operating base,1953
JMSDF Yokosuka Naval Base,🇯🇵 Japan,0,Fleet headquarters,1952
JMSDF Ōminato Naval Base,🇯🇵 Japan,0,Main operating base,1953
JSDF Base Djibouti,🇯🇵 Japan · in 🇩🇯 Djibouti,0,Support & logistics,2011
Jask Naval Base,🇮🇷 Iran,0,Main operating base,0
Jeju Naval Base,🇰🇷 South Korea,0,Main operating base,2016
Jianggezhuang Naval Base,🇨🇳 China,Type 091 +1,Submarine base,0
