#,Country,SEAS Index (Sea Equipment Aggregate Strength),Capital,Major,Total
1,🇺🇸 United States Navy,100.0,18,142,233
2,🇨🇳 People's Liberation Army Navy,91.9,3,183,"1,005"
3,🇷🇺 Russian Navy,70.7,2,78,447
4,🇯🇵 Japan Maritime Self-Defense Force,50.6,2,75,158
5,🇮🇳 Indian Navy,47.7,2,52,353
6,🇬🇧 Royal Navy,42.5,2,21,62
7,🇰🇷 Republic of Korea Navy,41.4,0,52,154
8,🇫🇷 French Navy,39.8,1,31,166
9,🇮🇹 Italian Navy,27.4,1,20,313
10,🇩🇪 German Navy,26.1,0,17,72
11,🇹🇼 Republic of China Navy,25.8,0,29,97
12,🇹🇷 Turkish Navy,25.7,0,30,195
13,🇵🇰 Pakistan Navy,24.2,0,15,117
14,🇦🇺 Royal Australian Navy,23.1,0,16,44
15,🇮🇩 Indonesian Navy,22.8,0,13,345
16,🇪🇬 Egyptian Navy,20.8,0,21,318
17,🇪🇸 Spanish Navy,20.3,0,13,87
18,🇬🇷 Hellenic Navy,20.1,0,21,142
19,🇨🇦 Royal Canadian Navy,19.8,0,16,33
20,🇸🇬 Republic of Singapore Navy,18.7,0,10,55
21,🇩🇿 Algerian National Navy,18.4,0,14,101
22,🇧🇷 Brazilian Navy,18.1,0,12,66
23,🇻🇳 Vietnam People's Navy,18.0,0,15,112
24,🇳🇴 Royal Norwegian Navy,18.0,0,10,60
25,🇰🇵 Korean People's Army Naval Force,17.9,0,25,391
26,🇸🇦 Royal Saudi Navy,17.0,0,7,30
27,🇮🇱 Israeli Navy,16.8,0,6,52
28,🇳🇱 Royal Netherlands Navy,16.2,0,8,37
29,🇩🇰 Royal Danish Navy,16.1,0,9,109
30,🇨🇱 Chilean Navy,15.2,0,12,75
31,🇹🇭 Royal Thai Navy,14.8,1,7,307
32,🇲🇲 Myanmar Navy,14.0,0,8,239
33,🇧🇩 Bangladesh Navy,13.9,0,9,92
34,🇿🇦 South African Navy,13.6,0,7,49
35,🇲🇾 Royal Malaysian Navy,13.1,0,4,97
36,🇵🇭 Philippine Navy,13.0,0,4,118
37,🇵🇹 Portuguese Navy,12.8,0,7,34
38,🇸🇪 Swedish Navy,12.6,0,4,232
39,🇵🇪 Peruvian Navy,12.3,0,13,77
40,🇦🇪 United Arab Emirates Navy,12.1,0,0,83
41,🇷🇴 Romanian Naval Forces,11.6,0,3,33
42,🇲🇦 Royal Moroccan Navy,11.3,0,6,137
43,🇰🇼 Kuwait Navy,11.1,0,0,123
44,🇨🇴 Colombian National Navy,10.9,0,8,258
45,🇦🇷 Argentine Navy,10.5,0,3,42
46,🇵🇱 Polish Navy,10.0,0,3,44
47,🇶🇦 Qatari Emiri Navy,9.4,0,0,126
48,🇧🇬 Bulgarian Navy,9.2,0,5,36
49,🇫🇮 Finnish Navy,8.7,0,0,185
50,🇴🇲 Royal Navy of Oman,8.7,0,0,17
51,🇲🇽 Mexican Navy,7.8,0,1,204
52,🇪🇨 Ecuadorian Navy,7.8,0,4,46
53,🇹🇳 Tunisian National Navy,7.4,0,0,66
54,🇻🇪 Bolivarian Navy of Venezuela,7.1,0,0,45
55,🇺🇦 Ukrainian Navy,7.1,0,0,41
56,🇱🇰 Sri Lanka Navy,7.1,0,1,271
57,🇮🇷 Islamic Republic of Iran Navy,6.9,0,2,112
58,🇧🇪 Belgian Navy,6.9,0,2,9
59,🇭🇷 Croatian Navy,6.8,0,0,31
60,🇨🇺 Cuban Revolutionary Navy,6.8,0,2,33
61,🇳🇿 Royal New Zealand Navy,6.7,0,2,5
62,🇧🇭 Royal Bahrain Naval Force,6.6,0,2,65
63,🇮🇪 Irish Naval Service,6.0,0,0,32
64,🇾🇪 Yemeni Navy,5.5,0,0,29
65,🇱🇧 Lebanese Navy,5.4,0,0,48
66,🇳🇬 Nigerian Navy,5.3,0,0,147
67,🇸🇻 Navy of El Salvador,5.2,0,0,29
68,🇩🇯 Djiboutian Navy,5.1,0,0,29
69,🇯🇴 Royal Jordanian Navy,4.6,0,0,27
70,🇹🇲 Turkmen Naval Forces,4.3,0,0,45
71,🇷🇸 Serbian River Flotilla,4.2,0,0,30
72,🇪🇷 Eritrean Navy,4.1,0,0,23
73,🇰🇪 Kenya Navy,3.9,0,0,25
74,🇪🇪 Estonian Navy,3.8,0,0,8
75,🇮🇶 Iraqi Navy,3.7,0,0,62
76,🇨🇾 Cyprus Navy,3.5,0,0,11
77,🇰🇭 Royal Cambodian Navy,3.5,0,0,21
78,🇰🇿 Kazakh Naval Forces,3.0,0,0,9
79,🇱🇾 Libyan Navy,2.8,0,1,4
80,🇦🇿 Azerbaijani Navy,2.0,0,1,26
81,🇸🇾 Syrian Arab Navy,0.0,0,0,0
