SLUG URL,Pillar,Weight,Score,Basis
usa,Manpower,15%,93.9,"Active, reserve & paramilitary personnel"
usa,Ground forces,20%,100.0,"Tanks, armor & artillery weighted by type"
usa,Naval power,20%,97.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
usa,Air power,25%,100.0,Weighted by aircraft type and fleet age
usa,Nuclear deterrent,10%,98.7,Warhead count with delivery-mode modifiers
usa,Defense budget,10%,100.0,"Annual spending, purchasing-power adjusted"
usa,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
chn,Manpower,15%,98.7,"Active, reserve & paramilitary personnel"
chn,Ground forces,20%,87.2,"Tanks, armor & artillery weighted by type"
chn,Naval power,20%,100.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
chn,Air power,25%,90.8,Weighted by aircraft type and fleet age
chn,Nuclear deterrent,10%,62.8,Warhead count with delivery-mode modifiers
chn,Defense budget,10%,91.8,"Annual spending, purchasing-power adjusted"
chn,Readiness,modifier,×1.09,"Budget per soldier: proxy for training, maintenance & technology"
rus,Manpower,15%,95.5,"Active, reserve & paramilitary personnel"
rus,Ground forces,20%,82.0,"Tanks, armor & artillery weighted by type"
rus,Naval power,20%,83.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
rus,Air power,25%,87.2,Weighted by aircraft type and fleet age
rus,Nuclear deterrent,10%,100.0,Warhead count with delivery-mode modifiers
rus,Defense budget,10%,89.9,"Annual spending, purchasing-power adjusted"
rus,Readiness,modifier,×1.09,"Budget per soldier: proxy for training, maintenance & technology"
ind,Manpower,15%,97.9,"Active, reserve & paramilitary personnel"
ind,Ground forces,20%,79.5,"Tanks, armor & artillery weighted by type"
ind,Naval power,20%,74.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ind,Air power,25%,75.5,Weighted by aircraft type and fleet age
ind,Nuclear deterrent,10%,45.4,Warhead count with delivery-mode modifiers
ind,Defense budget,10%,84.2,"Annual spending, purchasing-power adjusted"
ind,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
fra,Manpower,15%,76.9,"Active, reserve & paramilitary personnel"
fra,Ground forces,20%,63.8,"Tanks, armor & artillery weighted by type"
fra,Naval power,20%,66.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
fra,Air power,25%,66.5,Weighted by aircraft type and fleet age
fra,Nuclear deterrent,10%,49.5,Warhead count with delivery-mode modifiers
fra,Defense budget,10%,71.2,"Annual spending, purchasing-power adjusted"
fra,Readiness,modifier,×1.13,"Budget per soldier: proxy for training, maintenance & technology"
kor,Manpower,15%,99.6,"Active, reserve & paramilitary personnel"
kor,Ground forces,20%,77.4,"Tanks, armor & artillery weighted by type"
kor,Naval power,20%,71.6,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
kor,Air power,25%,70.6,Weighted by aircraft type and fleet age
kor,Nuclear deterrent,10%,0.0,No declared nuclear capability
kor,Defense budget,10%,69.5,"Annual spending, purchasing-power adjusted"
kor,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
gbr,Manpower,15%,71.4,"Active, reserve & paramilitary personnel"
gbr,Ground forces,20%,60.3,"Tanks, armor & artillery weighted by type"
gbr,Naval power,20%,60.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
gbr,Air power,25%,61.8,Weighted by aircraft type and fleet age
gbr,Nuclear deterrent,10%,38.2,Warhead count with delivery-mode modifiers
gbr,Defense budget,10%,74.1,"Annual spending, purchasing-power adjusted"
gbr,Readiness,modifier,×1.19,"Budget per soldier: proxy for training, maintenance & technology"
jpn,Manpower,15%,75.6,"Active, reserve & paramilitary personnel"
jpn,Ground forces,20%,62.4,"Tanks, armor & artillery weighted by type"
jpn,Naval power,20%,77.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
jpn,Air power,25%,67.1,Weighted by aircraft type and fleet age
jpn,Nuclear deterrent,10%,0.0,No declared nuclear capability
jpn,Defense budget,10%,70.5,"Annual spending, purchasing-power adjusted"
jpn,Readiness,modifier,×1.12,"Budget per soldier: proxy for training, maintenance & technology"
tur,Manpower,15%,82.9,"Active, reserve & paramilitary personnel"
tur,Ground forces,20%,75.7,"Tanks, armor & artillery weighted by type"
tur,Naval power,20%,61.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
tur,Air power,25%,64.4,Weighted by aircraft type and fleet age
tur,Nuclear deterrent,10%,2.8,No declared nuclear capability
tur,Defense budget,10%,70.6,"Annual spending, purchasing-power adjusted"
tur,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
deu,Manpower,15%,72.4,"Active, reserve & paramilitary personnel"
deu,Ground forces,20%,60.7,"Tanks, armor & artillery weighted by type"
deu,Naval power,20%,49.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
deu,Air power,25%,63.4,Weighted by aircraft type and fleet age
deu,Nuclear deterrent,10%,2.5,No declared nuclear capability
deu,Defense budget,10%,76.7,"Annual spending, purchasing-power adjusted"
deu,Readiness,modifier,×1.19,"Budget per soldier: proxy for training, maintenance & technology"
isr,Manpower,15%,79.2,"Active, reserve & paramilitary personnel"
isr,Ground forces,20%,61.0,"Tanks, armor & artillery weighted by type"
isr,Naval power,20%,42.1,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
isr,Air power,25%,61.8,Weighted by aircraft type and fleet age
isr,Nuclear deterrent,10%,35.6,Warhead count with delivery-mode modifiers
isr,Defense budget,10%,67.8,"Annual spending, purchasing-power adjusted"
isr,Readiness,modifier,×1.13,"Budget per soldier: proxy for training, maintenance & technology"
twn,Manpower,15%,88.2,"Active, reserve & paramilitary personnel"
twn,Ground forces,20%,66.9,"Tanks, armor & artillery weighted by type"
twn,Naval power,20%,58.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
twn,Air power,25%,63.4,Weighted by aircraft type and fleet age
twn,Nuclear deterrent,10%,0.0,No declared nuclear capability
twn,Defense budget,10%,62.3,"Annual spending, purchasing-power adjusted"
twn,Readiness,modifier,×1.07,"Budget per soldier: proxy for training, maintenance & technology"
ita,Manpower,15%,73.5,"Active, reserve & paramilitary personnel"
ita,Ground forces,20%,57.1,"Tanks, armor & artillery weighted by type"
ita,Naval power,20%,59.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ita,Air power,25%,63.2,Weighted by aircraft type and fleet age
ita,Nuclear deterrent,10%,3.7,No declared nuclear capability
ita,Defense budget,10%,67.8,"Annual spending, purchasing-power adjusted"
ita,Readiness,modifier,×1.14,"Budget per soldier: proxy for training, maintenance & technology"
sau,Manpower,15%,75.0,"Active, reserve & paramilitary personnel"
sau,Ground forces,20%,66.9,"Tanks, armor & artillery weighted by type"
sau,Naval power,20%,36.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sau,Air power,25%,67.4,Weighted by aircraft type and fleet age
sau,Nuclear deterrent,10%,0.0,No declared nuclear capability
sau,Defense budget,10%,77.6,"Annual spending, purchasing-power adjusted"
sau,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
pak,Manpower,15%,88.5,"Active, reserve & paramilitary personnel"
pak,Ground forces,20%,74.7,"Tanks, armor & artillery weighted by type"
pak,Naval power,20%,50.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
pak,Air power,25%,68.6,Weighted by aircraft type and fleet age
pak,Nuclear deterrent,10%,39.5,Warhead count with delivery-mode modifiers
pak,Defense budget,10%,62.5,"Annual spending, purchasing-power adjusted"
pak,Readiness,modifier,×0.93,"Budget per soldier: proxy for training, maintenance & technology"
dza,Manpower,15%,74.9,"Active, reserve & paramilitary personnel"
dza,Ground forces,20%,69.8,"Tanks, armor & artillery weighted by type"
dza,Naval power,20%,51.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
dza,Air power,25%,58.3,Weighted by aircraft type and fleet age
dza,Nuclear deterrent,10%,0.0,No declared nuclear capability
dza,Defense budget,10%,68.2,"Annual spending, purchasing-power adjusted"
dza,Readiness,modifier,×1.10,"Budget per soldier: proxy for training, maintenance & technology"
esp,Manpower,15%,69.9,"Active, reserve & paramilitary personnel"
esp,Ground forces,20%,62.7,"Tanks, armor & artillery weighted by type"
esp,Naval power,20%,47.6,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
esp,Air power,25%,58.8,Weighted by aircraft type and fleet age
esp,Nuclear deterrent,10%,0.0,No declared nuclear capability
esp,Defense budget,10%,64.6,"Annual spending, purchasing-power adjusted"
esp,Readiness,modifier,×1.14,"Budget per soldier: proxy for training, maintenance & technology"
aus,Manpower,15%,63.3,"Active, reserve & paramilitary personnel"
aus,Ground forces,20%,52.8,"Tanks, armor & artillery weighted by type"
aus,Naval power,20%,50.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
aus,Air power,25%,55.3,Weighted by aircraft type and fleet age
aus,Nuclear deterrent,10%,0.0,No declared nuclear capability
aus,Defense budget,10%,64.8,"Annual spending, purchasing-power adjusted"
aus,Readiness,modifier,×1.19,"Budget per soldier: proxy for training, maintenance & technology"
are,Manpower,15%,68.2,"Active, reserve & paramilitary personnel"
are,Ground forces,20%,67.2,"Tanks, armor & artillery weighted by type"
are,Naval power,20%,38.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
are,Air power,25%,56.2,Weighted by aircraft type and fleet age
are,Nuclear deterrent,10%,0.0,No declared nuclear capability
are,Defense budget,10%,60.2,"Annual spending, purchasing-power adjusted"
are,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
grc,Manpower,15%,75.9,"Active, reserve & paramilitary personnel"
grc,Ground forces,20%,68.4,"Tanks, armor & artillery weighted by type"
grc,Naval power,20%,54.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
grc,Air power,25%,59.1,Weighted by aircraft type and fleet age
grc,Nuclear deterrent,10%,0.0,No declared nuclear capability
grc,Defense budget,10%,53.1,"Annual spending, purchasing-power adjusted"
grc,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
bra,Manpower,15%,89.7,"Active, reserve & paramilitary personnel"
bra,Ground forces,20%,56.2,"Tanks, armor & artillery weighted by type"
bra,Naval power,20%,47.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bra,Air power,25%,57.0,Weighted by aircraft type and fleet age
bra,Nuclear deterrent,10%,0.0,No declared nuclear capability
bra,Defense budget,10%,67.9,"Annual spending, purchasing-power adjusted"
bra,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
pol,Manpower,15%,69.9,"Active, reserve & paramilitary personnel"
pol,Ground forces,20%,65.4,"Tanks, armor & artillery weighted by type"
pol,Naval power,20%,33.6,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
pol,Air power,25%,51.0,Weighted by aircraft type and fleet age
pol,Nuclear deterrent,10%,0.0,No declared nuclear capability
pol,Defense budget,10%,71.8,"Annual spending, purchasing-power adjusted"
pol,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
can,Manpower,15%,64.1,"Active, reserve & paramilitary personnel"
can,Ground forces,20%,52.0,"Tanks, armor & artillery weighted by type"
can,Naval power,20%,44.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
can,Air power,25%,50.5,Weighted by aircraft type and fleet age
can,Nuclear deterrent,10%,0.0,No declared nuclear capability
can,Defense budget,10%,67.2,"Annual spending, purchasing-power adjusted"
can,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
sgp,Manpower,15%,71.3,"Active, reserve & paramilitary personnel"
sgp,Ground forces,20%,58.7,"Tanks, armor & artillery weighted by type"
sgp,Naval power,20%,45.2,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
sgp,Air power,25%,49.2,Weighted by aircraft type and fleet age
sgp,Nuclear deterrent,10%,0.0,No declared nuclear capability
sgp,Defense budget,10%,57.4,"Annual spending, purchasing-power adjusted"
sgp,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
ukr,Manpower,15%,92.6,"Active, reserve & paramilitary personnel"
ukr,Ground forces,20%,68.3,"Tanks, armor & artillery weighted by type"
ukr,Naval power,20%,21.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
ukr,Air power,25%,52.3,Weighted by aircraft type and fleet age
ukr,Nuclear deterrent,10%,0.0,No declared nuclear capability
ukr,Defense budget,10%,83.8,"Annual spending, purchasing-power adjusted"
ukr,Readiness,modifier,×1.06,"Budget per soldier: proxy for training, maintenance & technology"
vnm,Manpower,15%,99.6,"Active, reserve & paramilitary personnel"
vnm,Ground forces,20%,70.9,"Tanks, armor & artillery weighted by type"
vnm,Naval power,20%,53.7,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
vnm,Air power,25%,44.5,Weighted by aircraft type and fleet age
vnm,Nuclear deterrent,10%,0.0,No declared nuclear capability
vnm,Defense budget,10%,62.6,"Annual spending, purchasing-power adjusted"
vnm,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
prk,Manpower,15%,100.0,"Active, reserve & paramilitary personnel"
prk,Ground forces,20%,74.6,"Tanks, armor & artillery weighted by type"
prk,Naval power,20%,65.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
prk,Air power,25%,67.0,Weighted by aircraft type and fleet age
prk,Nuclear deterrent,10%,27.6,Warhead count with delivery-mode modifiers
prk,Defense budget,10%,46.2,"Annual spending, purchasing-power adjusted"
prk,Readiness,modifier,×0.80,"Budget per soldier: proxy for training, maintenance & technology"
egy,Manpower,15%,85.9,"Active, reserve & paramilitary personnel"
egy,Ground forces,20%,73.2,"Tanks, armor & artillery weighted by type"
egy,Naval power,20%,60.3,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
egy,Air power,25%,69.3,Weighted by aircraft type and fleet age
egy,Nuclear deterrent,10%,0.0,No declared nuclear capability
egy,Defense budget,10%,50.9,"Annual spending, purchasing-power adjusted"
egy,Readiness,modifier,×0.88,"Budget per soldier: proxy for training, maintenance & technology"
idn,Manpower,15%,84.5,"Active, reserve & paramilitary personnel"
idn,Ground forces,20%,51.8,"Tanks, armor & artillery weighted by type"
idn,Naval power,20%,64.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
idn,Air power,25%,51.1,Weighted by aircraft type and fleet age
idn,Nuclear deterrent,10%,0.0,No declared nuclear capability
idn,Defense budget,10%,62.5,"Annual spending, purchasing-power adjusted"
idn,Readiness,modifier,×0.98,"Budget per soldier: proxy for training, maintenance & technology"
irn,Manpower,15%,85.9,"Active, reserve & paramilitary personnel"
irn,Ground forces,20%,72.4,"Tanks, armor & artillery weighted by type"
irn,Naval power,20%,40.6,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
irn,Air power,25%,58.2,Weighted by aircraft type and fleet age
irn,Nuclear deterrent,10%,6.5,No declared nuclear capability
irn,Defense budget,10%,60.9,"Annual spending, purchasing-power adjusted"
irn,Readiness,modifier,×0.94,"Budget per soldier: proxy for training, maintenance & technology"
qat,Manpower,15%,50.9,"Active, reserve & paramilitary personnel"
qat,Ground forces,20%,47.0,"Tanks, armor & artillery weighted by type"
qat,Naval power,20%,40.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
qat,Air power,25%,55.8,Weighted by aircraft type and fleet age
qat,Nuclear deterrent,10%,0.0,No declared nuclear capability
qat,Defense budget,10%,56.8,"Annual spending, purchasing-power adjusted"
qat,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
swe,Manpower,15%,60.1,"Active, reserve & paramilitary personnel"
swe,Ground forces,20%,45.5,"Tanks, armor & artillery weighted by type"
swe,Naval power,20%,43.9,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
swe,Air power,25%,50.9,Weighted by aircraft type and fleet age
swe,Nuclear deterrent,10%,0.0,No declared nuclear capability
swe,Defense budget,10%,56.6,"Annual spending, purchasing-power adjusted"
swe,Readiness,modifier,×1.18,"Budget per soldier: proxy for training, maintenance & technology"
mmr,Manpower,15%,73.4,"Active, reserve & paramilitary personnel"
mmr,Ground forces,20%,68.7,"Tanks, armor & artillery weighted by type"
mmr,Naval power,20%,47.9,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mmr,Air power,25%,52.2,Weighted by aircraft type and fleet age
mmr,Nuclear deterrent,10%,0.0,No declared nuclear capability
mmr,Defense budget,10%,56.6,"Annual spending, purchasing-power adjusted"
mmr,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
nor,Manpower,15%,58.4,"Active, reserve & paramilitary personnel"
nor,Ground forces,20%,43.8,"Tanks, armor & artillery weighted by type"
nor,Naval power,20%,45.2,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nor,Air power,25%,46.7,Weighted by aircraft type and fleet age
nor,Nuclear deterrent,10%,0.0,No declared nuclear capability
nor,Defense budget,10%,57.4,"Annual spending, purchasing-power adjusted"
nor,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
mex,Manpower,15%,76.0,"Active, reserve & paramilitary personnel"
mex,Ground forces,20%,62.8,"Tanks, armor & artillery weighted by type"
mex,Naval power,20%,41.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
mex,Air power,25%,42.8,Weighted by aircraft type and fleet age
mex,Nuclear deterrent,10%,0.0,No declared nuclear capability
mex,Defense budget,10%,63.8,"Annual spending, purchasing-power adjusted"
mex,Readiness,modifier,×1.05,"Budget per soldier: proxy for training, maintenance & technology"
nld,Manpower,15%,57.8,"Active, reserve & paramilitary personnel"
nld,Ground forces,20%,43.2,"Tanks, armor & artillery weighted by type"
nld,Naval power,20%,40.8,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
nld,Air power,25%,45.7,Weighted by aircraft type and fleet age
nld,Nuclear deterrent,10%,2.5,No declared nuclear capability
nld,Defense budget,10%,63.3,"Annual spending, purchasing-power adjusted"
nld,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
fin,Manpower,15%,69.9,"Active, reserve & paramilitary personnel"
fin,Ground forces,20%,56.7,"Tanks, armor & artillery weighted by type"
fin,Naval power,20%,32.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
fin,Air power,25%,44.2,Weighted by aircraft type and fleet age
fin,Nuclear deterrent,10%,0.0,No declared nuclear capability
fin,Defense budget,10%,51.2,"Annual spending, purchasing-power adjusted"
fin,Readiness,modifier,×1.15,"Budget per soldier: proxy for training, maintenance & technology"
